name,playcount,mbid,url,artist/name,artist/mbid,artist/url,image/0/#text,image/0/size,image/1/#text,image/1/size,image/2/#text,image/2/size,image/3/#text,image/3/size,@attr/rank
Before the Dawn Heals Us,55,4e9c3a6b-9507-450a-b513-4aa738624078,http://www.last.fm/music/M83/Before+the+Dawn+Heals+Us,M83,6d7b7cd4-254b-4c25-83f6-dd20f98ceacd,http://www.last.fm/music/M83,http://userserve-ak.last.fm/serve/34s/94652535.png,small,http://userserve-ak.last.fm/serve/64s/94652535.png,medium,http://userserve-ak.last.fm/serve/126/94652535.png,large,http://userserve-ak.last.fm/serve/300x300/94652535.png,extralarge,14
Back to Black,55,274af9e8-5676-405b-804d-28df0ab76f75,http://www.last.fm/music/Amy+Winehouse/Back+to+Black,Amy Winehouse,23ee1942-3b50-4953-9b61-b3b0e932064c,http://www.last.fm/music/Amy+Winehouse,http://userserve-ak.last.fm/serve/34s/87899249.png,small,http://userserve-ak.last.fm/serve/64s/87899249.png,medium,http://userserve-ak.last.fm/serve/126/87899249.png,large,http://userserve-ak.last.fm/serve/300x300/87899249.png,extralarge,15
Mr. Wonderful,54,256d823e-5977-4dbc-b274-d55f0b8c2cc9,http://www.last.fm/music/Action+Bronson/Mr.+Wonderful,Action Bronson,031bc934-28c9-491a-8648-c078450187dc,http://www.last.fm/music/Action+Bronson,http://userserve-ak.last.fm/serve/34s/103983049.png,small,http://userserve-ak.last.fm/serve/64s/103983049.png,medium,http://userserve-ak.last.fm/serve/126/103983049.png,large,http://userserve-ak.last.fm/serve/300x300/103983049.png,extralarge,16
De La Soul Is Dead,53,2fa48352-7734-4829-a8be-db1139e948cf,http://www.last.fm/music/De+La+Soul/De+La+Soul+Is+Dead,De La Soul,a8ebde98-7e91-46c7-992c-90039ba42017,http://www.last.fm/music/De+La+Soul,http://userserve-ak.last.fm/serve/34s/75357860.jpg,small,http://userserve-ak.last.fm/serve/64s/75357860.jpg,medium,http://userserve-ak.last.fm/serve/126/75357860.jpg,large,http://userserve-ak.last.fm/serve/300x300/75357860.jpg,extralarge,17
Out From Out Where,53,e2840251-375a-3e3a-8c06-6714d1edb41b,http://www.last.fm/music/Amon+Tobin/Out+From+Out+Where,Amon Tobin,630662ea-1c7d-4208-99fd-ba3afec20f0c,http://www.last.fm/music/Amon+Tobin,http://userserve-ak.last.fm/serve/34s/41142413.png,small,http://userserve-ak.last.fm/serve/64s/41142413.png,medium,http://userserve-ak.last.fm/serve/126/41142413.png,large,http://userserve-ak.last.fm/serve/300x300/41142413.png,extralarge,18
#1,52,8de603ab-cef3-4bea-bef3-7ce756bd8217,http://www.last.fm/music/Fischerspooner/%231,Fischerspooner,a4f54716-24d9-4c6b-8ba7-1d7e7a5173d0,http://www.last.fm/music/Fischerspooner,http://userserve-ak.last.fm/serve/34s/91082281.png,small,http://userserve-ak.last.fm/serve/64s/91082281.png,medium,http://userserve-ak.last.fm/serve/126/91082281.png,large,http://userserve-ak.last.fm/serve/300x300/91082281.png,extralarge,19
Scars (Bonus Track Version),50,,http://www.last.fm/music/Basement+Jaxx/Scars+(Bonus+Track+Version),Basement Jaxx,28cbf94d-0700-4095-a188-37e373b069a7,http://www.last.fm/music/Basement+Jaxx,http://userserve-ak.last.fm/serve/34s/35718219.jpg,small,http://userserve-ak.last.fm/serve/64s/35718219.jpg,medium,http://userserve-ak.last.fm/serve/126/35718219.jpg,large,http://userserve-ak.last.fm/serve/300x300/35718219.jpg,extralarge,20
Beauty and the Beat,48,4d1cda1f-ed40-3d63-9c39-d04b3494bd2d,http://www.last.fm/music/Edan/Beauty+and+the+Beat,Edan,d747ba37-3af2-414b-80e8-49607d63d1a4,http://www.last.fm/music/Edan,http://userserve-ak.last.fm/serve/34s/92326935.png,small,http://userserve-ak.last.fm/serve/64s/92326935.png,medium,http://userserve-ak.last.fm/serve/126/92326935.png,large,http://userserve-ak.last.fm/serve/300x300/92326935.png,extralarge,21
Soundclash,48,7375bb67-9ece-43a1-a7a9-671205736f27,http://www.last.fm/music/Renegade+Soundwave/Soundclash,Renegade Soundwave,5e074654-aad2-4944-bce6-3aa1d16bb2d2,http://www.last.fm/music/Renegade+Soundwave,http://userserve-ak.last.fm/serve/34s/36641773.png,small,http://userserve-ak.last.fm/serve/64s/36641773.png,medium,http://userserve-ak.last.fm/serve/126/36641773.png,large,http://userserve-ak.last.fm/serve/300x300/36641773.png,extralarge,22
Third Eye Vision,46,,http://www.last.fm/music/Hieroglyphics/Third+Eye+Vision,Hieroglyphics,72609007-4227-4bdd-a993-1e92df52527a,http://www.last.fm/music/Hieroglyphics,http://images.amazon.com/images/P/B00005A8CF.01._SCMZZZZZZZ_.jpg,small,http://images.amazon.com/images/P/B00005A8CF.01._SCMZZZZZZZ_.jpg,medium,http://images.amazon.com/images/P/B00005A8CF.01._SCMZZZZZZZ_.jpg,large,http://images.amazon.com/images/P/B00005A8CF.01._SCMZZZZZZZ_.jpg,extralarge,23
